date,ndvi,precip_8d_sum_mm,soil_moisture_8d_mean,temp_8d_mean_C,pet_8d_sum_mm
2000/2/18,0.144289,3.217027,0.204952,8.873877,42.914101
2000/2/26,0.283586,16.738427,0.241695,12.76102,62.692244
2000/3/5,0.293746,21.581082,0.279072,11.287419,50.107986
2000/3/13,0.291768,10.068712,0.268736,8.476537,41.351705
2000/3/21,0.317378,34.508613,0.31173,8.73326,37.371035
2000/3/29,0.330968,15.195848,0.322072,12.000276,43.689093
2000/4/6,0.337675,3.634195,0.300858,11.939525,68.402431
2000/4/14,0.373015,13.719749,0.250656,14.366104,58.092254
2000/4/22,0.408415,7.654017,0.214433,17.823862,80.364969
2000/4/30,0.398686,26.472053,0.244543,16.902142,60.558225
2000/5/8,0.433626,7.293385,0.232952,22.153567,82.630852
2000/5/16,0.41207,16.763451,0.182941,20.323279,94.098198
2000/5/24,0.391703,26.68809,0.19646,23.612354,80.765382
2000/6/1,0.398228,18.652062,0.227327,24.419254,83.902171
2000/6/9,0.377795,12.267657,0.234924,23.117968,80.569714
2000/6/17,0.414034,35.758429,0.254799,22.670609,75.753087
2000/6/25,0.414988,38.120073,0.2546,24.62366,71.186536
2000/7/3,0.436109,18.228091,0.265962,25.71808,79.013647
2000/7/11,0.432681,9.145588,0.167957,28.580676,96.508563
2000/7/19,0.439638,27.881252,0.186909,28.162564,87.614574
2000/7/27,0.432685,13.453271,0.192646,26.590416,86.021596
2000/8/4,0.344121,4.400367,0.15603,28.089071,92.202228
2000/8/12,0.345663,5.829124,0.141569,29.501472,102.069652
2000/8/20,0.365106,6.916625,0.142539,28.447464,100.447823
2000/8/28,0.339726,3.172651,0.131052,29.710954,103.097245
2000/9/5,0.322588,3.03987,0.12787,29.247912,99.911061
2000/9/13,0.307929,2.607648,0.128929,26.590064,93.747027
2000/9/21,0.315954,12.212553,0.144129,22.076982,87.933418
2000/9/29,0.299578,2.030987,0.177384,19.330224,76.049523
2000/10/7,0.288587,5.074615,0.173885,13.21558,56.837398
2000/10/15,0.277002,21.436686,0.209839,17.022942,46.343671
2000/10/23,0.265251,52.694642,0.301993,16.78652,28.612656
2000/10/31,0.312177,41.099881,0.352761,14.826645,32.195101
2000/11/8,0.3064,23.581936,0.345283,5.348265,22.532376
2000/11/16,0.280904,4.701613,0.323794,1.053293,22.803185
2000/11/24,0.281387,11.290818,0.309801,4.109093,18.325752
2000/12/2,0.276195,1.734902,0.283732,3.398625,21.795332
2000/12/10,0.206922,8.293419,0.270691,1.249066,20.569062
2000/12/18,0.223285,2.887954,0.279131,0.240621,24.789615
2000/12/26,0.137857,13.080403,0.279094,-2.42014,12.199589
2001/1/1,0.232384,0.817725,0.293889,-2.983571,9.583582
2001/1/9,0.262524,3.151009,0.316764,3.633932,16.433312
2001/1/17,0.219994,7.755763,0.309303,-0.156957,16.953504
2001/1/25,0.215051,10.677244,0.313454,1.262095,15.036999
2001/2/2,0.226008,7.865383,0.333319,0.462512,19.784381
2001/2/10,0.203822,15.419128,0.345601,3.250284,18.281248
2001/2/18,0.250402,11.027804,0.342863,3.383498,22.718838
2001/2/26,0.26937,27.074767,0.343678,4.115764,24.077695
2001/3/6,0.294441,15.510735,0.342237,6.125165,26.733928
2001/3/14,0.302911,12.317881,0.335217,7.453021,39.428351
2001/3/22,0.298618,10.117677,0.32369,8.410211,34.775395
2001/3/30,0.308632,7.549581,0.322889,7.848656,31.955345
2001/4/7,0.363012,13.467058,0.279149,18.166468,57.222505
2001/4/15,0.411232,10.449323,0.275131,12.684059,60.955502
2001/4/23,0.423261,9.401981,0.239001,17.273064,77.517546
2001/5/1,0.468517,32.564722,0.207885,19.283281,74.721574
2001/5/9,0.449633,24.219199,0.303152,18.42035,62.013954
2001/5/17,0.457272,26.651207,0.244063,22.448262,69.861268
2001/5/25,0.451033,14.377168,0.242145,18.305887,75.157807
2001/6/2,0.454314,34.971521,0.264289,21.938303,71.408292
2001/6/10,0.435916,14.414871,0.22844,25.166875,83.449177
2001/6/26,0.38245,8.804072,0.180753,25.97889,93.593674
2001/7/4,0.394015,10.130343,0.148842,28.135419,95.481467
2001/7/12,0.400462,13.65334,0.144693,29.18133,94.777667
2001/7/20,0.394207,8.189802,0.153152,30.46737,108.097039
2001/7/28,0.395024,22.337127,0.167489,29.381542,94.85604
2001/8/5,0.394342,1.166872,0.13839,29.651836,99.08662
2001/8/13,0.396678,23.505826,0.184233,26.214534,75.499936
2001/8/21,0.39972,16.117793,0.190538,26.971633,86.711783
2001/8/29,0.385108,19.3746,0.195511,24.681322,65.233508
2001/9/6,0.400136,18.00625,0.208925,23.148444,65.179005
2001/9/14,0.409458,15.757447,0.207425,22.360618,59.651616
2001/9/22,0.396552,31.430763,0.246113,20.314546,54.659262
2001/9/30,0.380665,0.605218,0.18191,19.573192,64.90389
2001/10/8,0.369456,15.060969,0.192751,16.680595,56.349851
2001/10/16,0.350016,10.501073,0.216333,13.624898,54.651256
2001/10/24,0.334348,2.664685,0.177405,15.739603,54.844634
2001/11/1,0.329549,8.195354,0.162592,17.267454,50.885534
2001/11/9,0.305631,0.510652,0.182101,13.744335,35.278312
2001/11/17,0.329934,20.342865,0.252656,12.559444,26.981563
